County,Median_Income,Age-Adjusted Death Rate,Average Deaths per Year
"Anderson County, Texas",52358.9504178273,70.1,44
"Androscoggin County, Maine",47183.164179104475,60.8,80
"Anne Arundel County, Maryland",117648.5,50.1,277
"Anson County, North Carolina",27692.333333333332,56.3,18
"Antelope County, Nebraska",50497.0,39.7,4
"Antrim County, Michigan",37601.666666666664,47,19
"Apache County, Arizona",50913.67935871743,17.7,12
"Appanoose County, Iowa",28750.0,56.3,11
"Appling County, Georgia",48444.48744460857,56.3,12
"Arapahoe County, Colorado",109574.0,33.7,177
"Archer County, Texas",53638.0,45.9,5
"Arkansas County, Arkansas",41331.044444444444,67.8,17
"Armstrong County, Pennsylvania",47894.75,46.4,48
"Aroostook County, Maine",31718.0,62.2,68
"Ashland County, Ohio",46773.666666666664,53.5,35
"Ashley County, Arkansas",30490.0,58.6,17
"Ashtabula County, Ohio",27654.0,60,78
"Atchison County, Kansas",36382.0,51.1,10
"Athens County, Ohio",37213.0,63.1,34
"Atlantic County, New Jersey",72466.352180937,47.9,156
"Attala County, Mississippi",55270.0,57.3,15
"Audrain County, Missouri",33278.0,63.3,21
"Auglaize County, Ohio",64078.5,54.4,31
"Autauga County, Alabama",42071.77380952381,59.3,34
"Avery County, North Carolina",27280.0,49,13
"Avoyelles Parish, Louisiana",29876.5,66.7,33
"Baker County, Florida",43196.0,75.2,21
"Baker County, Oregon",51631.66887417219,50.4,14
"Ballard County, Kentucky",40216.0,76.1,9
"Baltimore County, Maryland",65640.75,47.8,471
"Banks County, Georgia",32655.0,33.8,7
"Barbour County, Alabama",19528.0,61.3,20
"Barbour County, West Virginia",41449.538860103625,42.9,9
"Barnstable County, Massachusetts",67743.61445783133,41.5,175
"Barren County, Kentucky",26193.0,73,40
"Barrow County, Georgia",53275.666666666664,63.4,37
"Barry County, Michigan",42396.0,43.8,33
"Bartholomew County, Indiana",45877.0,59.2,53
"Barton County, Kansas",28973.0,45.5,17
"Bartow County, Georgia",47271.0,63.2,61
"Bath County, Kentucky",23337.0,77.4,11
"Bay County, Michigan",14256.0,51.3,74
"Bayfield County, Wisconsin",36797.0,48.6,12
"Beaufort County, North Carolina",21011.5,59.1,41
"Beaufort County, South Carolina",43437.5,39,96
"Beaver County, Pennsylvania",35120.0,49.7,129
"Beaverhead County, Montana",45526.86538461538,28.3,4
"Beckham County, Oklahoma",96500.0,44.7,10
"Bedford County, Pennsylvania",46898.5,41.2,30
"Belknap County, New Hampshire",62891.97,55.2,46
"Bell County, Texas",82273.0,54.1,130
"Belmont County, Ohio",34767.5,51,51
"Benton County, Arkansas",44983.0,47,106
"Benton County, Indiana",45450.0,79.3,9
"Benton County, Iowa",64833.0,50.2,17
"Benton County, Minnesota",36156.0,38.8,15
"Benton County, Mississippi",31231.0,46.1,5
"Benton County, Missouri",27671.0,66.7,24
"Benton County, Oregon",57997.0,39.2,35
"Benzie County, Michigan",42411.666666666664,63.8,18
"Bergen County, New Jersey",96491.3,34.7,402
"Berks County, Pennsylvania",65037.6,42.3,211
"Berkshire County, Massachusetts",69776.0,47.9,95
"Bernalillo County, New Mexico",46399.0523255814,31.2,216
"Berrien County, Michigan",46278.0,53.2,109
"Bethel Census Area, Alaska",37830.333333333336,58.3,5
"Bexar County, Texas",82298.0,34.5,528
"Bienville Parish, Louisiana",23355.5,63.3,12
"Big Stone County, Minnesota",34693.666666666664,55.9,6
"Bladen County, North Carolina",18585.5,51.1,25
"Blaine County, Oklahoma",51256.0,48.6,7
"Blair County, Pennsylvania",30371.0,43.9,79
"Blount County, Alabama",44609.0,59.9,43
"Blue Earth County, Minnesota",40584.0,39.6,25
"Bolivar County, Mississippi",16341.0,66.2,23
"Bon Homme County, South Dakota",46400.0,50.4,5
"Bond County, Illinois",35675.0,47,10
"Bonner County, Idaho",31093.0,43.7,26
"Boone County, Illinois",53855.0,52.8,28
"Boone County, Indiana",72919.0,56.6,31
"Boone County, Kentucky",61650.0,60.1,63
"Boone County, Missouri",40025.666666666664,47.2,63
"Boone County, West Virginia",19441.0,81.5,25
"Bosque County, Texas",36059.0,59.2,18
"Bottineau County, North Dakota",49313.0,37.8,5
"Boulder County, Colorado",106980.0,24.3,65
"Bourbon County, Kansas",23521.0,47.5,10
"Bowie County, Texas",38408.0,58.7,63
"Box Butte County, Nebraska",49509.0,31.2,5
"Box Elder County, Utah",56671.0,17.6,8
"Boyle County, Kentucky",32484.0,56.9,21
"Bracken County, Kentucky",20699.0,92.7,9
"Bradford County, Pennsylvania",40443.5,50.2,45
"Bradley County, Arkansas",27965.0,68.3,11
"Branch County, Michigan",37767.0,48.6,27
"Braxton County, West Virginia",31213.0,61.4,13
"Brazoria County, Texas",45344.0,47.6,130
"Breathitt County, Kentucky",24985.0,73.2,13
"Brevard County, Florida",62335.0,55.4,487
"Bristol County, Massachusetts",73884.0,49.6,326
"Brookings County, South Dakota",43280.5,37.9,10
"Brooks County, Georgia",23461.0,51.1,11
"Broome County, New York",56170.5,42.1,111
"Broward County, Florida",42919.2,38.7,827
"Brown County, Illinois",32625.0,46.6,3
"Brown County, Kansas",53558.0,53.6,8
"Brown County, Minnesota",65612.0,41.6,16
"Brown County, Texas",35617.0,52.3,28
"Brown County, Wisconsin",60401.0,41.6,107
"Brule County, South Dakota",39270.0,53.7,4
"Brunswick County, North Carolina",42182.0,56.8,101
"Brunswick County, Virginia",45713.0,46.5,11
"Bryan County, Oklahoma",21538.0,74,41
"Buchanan County, Iowa",51884.0,56.2,15
"Buchanan County, Missouri",47593.0,65.1,67
"Bucks County, Pennsylvania",65846.5,43.9,340
"Buffalo County, Nebraska",56733.0,36,16
"Buffalo County, Wisconsin",45629.5,52.6,10
"Bureau County, Illinois",42599.0,50.4,25
"Burke County, North Carolina",41039.0,61,73
"Burlington County, New Jersey",96402.5,44.2,232
"Burt County, Nebraska",28596.0,58.7,6
"Butler County, Alabama",19757.0,52.6,15
"Butler County, Iowa",46512.0,35.4,8
"Butler County, Kansas",49342.0,53,38
"Butler County, Nebraska",39768.0,36.9,5
"Butler County, Ohio",40761.5,58.5,221
"Butler County, Pennsylvania",47966.0,48.9,114
"Butte County, California",49121.0,46,126
"Cache County, Utah",56817.5,9.2,7
"Caddo County, Oklahoma",31854.0,65.4,23
"Calaveras County, California",42435.5,40.2,31
"Calcasieu Parish, Louisiana",47114.0,58.1,121
"Caldwell County, Missouri",22126.0,75.2,10
"Caldwell County, North Carolina",40863.0,69.1,73
"Caldwell County, Texas",64150.0,45.9,18
"Caledonia County, Vermont",36526.0,57.2,23
"Calhoun County, Georgia",18746.0,50.2,4
"Calhoun County, Illinois",34447.0,47.8,4
"Calhoun County, Iowa",15361.0,40.4,7
"Calhoun County, Mississippi",28737.0,75.9,15
"Calumet County, Wisconsin",63944.333333333336,37.3,18
"Cambria County, Pennsylvania",44788.333333333336,43.7,95
"Camden County, Missouri",60833.0,47.4,35
"Camden County, New Jersey",80710.8,48.9,275
"Cameron County, Texas",31840.666666666668,24,89
"Campbell County, Kentucky",39698.0,67.3,65
"Cape May County, New Jersey",54566.4,54.9,90
"Carbon County, Montana",34031.0,21.3,4
"Carbon County, Pennsylvania",48751.5,53.4,50
"Carbon County, Utah",30799.5,34.5,8
"Carbon County, Wyoming",59769.5,41.6,7
"Carlisle County, Kentucky",22619.0,61.5,5
"Caroline County, Maryland",36225.0,56.7,22
"Carroll County, Georgia",41111.0,59,62
"Carroll County, Illinois",50854.0,47.4,12
"Carroll County, Indiana",38585.5,39.8,10
"Carroll County, Iowa",55578.0,44.4,14
"Carroll County, Kentucky",25323.0,69.9,9
"Carroll County, Missouri",34265.0,63.4,9
"Carroll County, New Hampshire",20910.0,42.9,35
"Carroll County, Ohio",37767.0,53.7,21
"Carter County, Oklahoma",53521.0,64,38
"Carter County, Tennessee",29128.0,67.2,54
"Carteret County, North Carolina",54542.0,62.9,63
"Carver County, Minnesota",75526.4,38.8,28
"Cascade County, Montana",83641.0,50.3,51
"Cass County, Iowa",33095.5,57.1,12
"Cass County, Minnesota",10926.0,50.8,24
"Cass County, Missouri",49357.5,53.8,63
"Cass County, North Dakota",129656.0,37.3,50
"Cass County, Texas",28101.0,58.8,27
"Castro County, Texas",35714.0,35.5,3
"Catahoula Parish, Louisiana",22547.0,66.1,8
"Catawba County, North Carolina",44251.5,54,99
"Centre County, Pennsylvania",50018.75,37.9,56
"Chaffee County, Colorado",40649.0,30.6,8
"Chambers County, Alabama",37033.0,63.1,29
"Chambers County, Texas",91117.5,56.9,17
"Champaign County, Illinois",58969.0,42.4,73
"Charles Mix County, South Dakota",30209.0,34.5,4
"Charleston County, South Carolina",65394.0,45.7,177
"Charlevoix County, Michigan",40869.0,45.1,18
"Chatham County, North Carolina",31471.0,38.5,39
"Chautauqua County, Kansas",31175.0,80.1,5
"Chautauqua County, New York",54308.0,49.4,90
"Chaves County, New Mexico",41039.0,40.9,31
"Cheatham County, Tennessee",61588.0,80.6,32
"Chemung County, New York",47574.0,56.2,66
"Chenango County, New York",44096.0,52.1,35
"Cherokee County, Georgia",68506.0,46.7,84
"Cherokee County, Iowa",38866.0,36.3,8
"Cherokee County, Oklahoma",30578.0,66.4,34
"Cherokee County, South Carolina",30234.0,57.9,38
"Cherokee County, Texas",37081.0,60.3,37
"Chester County, Pennsylvania",63694.25,39.4,219
"Chester County, Tennessee",14171.0,48.5,10
"Chesterfield County, South Carolina",28631.0,69.2,37
"Chilton County, Alabama",30427.0,66,34
"Chippewa County, Wisconsin",31574.0,48.3,37
"Choctaw County, Oklahoma",19519.0,70.6,15
"Churchill County, Nevada",53840.96244131456,59.9,18
"Cibola County, New Mexico",33055.0,24.7,7
"Citrus County, Florida",56004.0,64.2,200
"Clackamas County, Oregon",73514.0,43.2,189
"Clallam County, Washington",25578.0,51.2,66
"Clarion County, Pennsylvania",37393.0,45.1,23
"Clark County, Indiana",46871.0,67.3,81
"Clark County, Missouri",38573.0,67.8,7
"Clark County, Nevada",49820.0,48.1,901
"Clarke County, Iowa",39124.0,58.4,7
"Clarke County, Virginia",74891.0,64.9,13
"Clay County, Arkansas",32066.0,80.1,20
"Clay County, Florida",56643.5,58.5,117
"Clay County, Illinois",32787.0,55.8,11
"Clay County, Iowa",42400.0,41.5,10
"Clay County, Kansas",37656.666666666664,52.9,7
"Clay County, Minnesota",57495.0,42.7,25
"Clay County, Missouri",49041.0,55.7,122
"Clay County, Nebraska",34592.0,41.9,4
"Clay County, Texas",55433.0,55.3,9
"Clayton County, Iowa",41903.0,37.1,10
"Clearfield County, Pennsylvania",33936.0,45.6,53
"Clearwater County, Idaho",37585.5,40.7,6
"Cleburne County, Arkansas",52597.0,70.5,32
"Clermont County, Ohio",32784.0,61.3,127
"Cleveland County, North Carolina",28399.5,59.2,73
"Cleveland County, Oklahoma",52368.0,49.7,116
"Clinton County, Illinois",74140.5,43.9,20
"Clinton County, Indiana",46134.5,62.2,24
"Clinton County, Iowa",49197.5,50.5,33
"Clinton County, Michigan",65368.0,38.9,33
"Clinton County, Missouri",42275.5,59.3,15
"Clinton County, New York",50291.0,53.9,50
"Clinton County, Ohio",34737.0,68.2,33
"Coal County, Oklahoma",19225.0,81.1,7
"Cobb County, Georgia",44615.0,40.3,223
"Cochise County, Arizona",35864.0,37,65
"Coconino County, Arizona",51262.25,25.6,26
"Colbert County, Alabama",49109.0,61.2,46
"Coles County, Illinois",53926.0,56.1,34
"Colfax County, Nebraska",47959.5,33.1,4
"Colfax County, New Mexico",21373.0,25.3,6
"Colleton County, South Carolina",41944.0,73.9,38
"Collier County, Florida",76077.0,30.5,194
"Collin County, Texas",93324.0,36.7,207
"Columbia County, Arkansas",34396.5,62.6,19
"Columbia County, Pennsylvania",44305.0,43.7,38
"Columbia County, Wisconsin",49816.0,45.7,32
"Columbiana County, Ohio",38391.666666666664,52.3,76
"Columbus County, North Carolina",31860.25,63.6,46
"Comal County, Texas",56587.0,42.7,61
"Comanche County, Oklahoma",40008.0,58.2,63
"Contra Costa County, California",68959.6,36.1,404
"Converse County, Wyoming",56257.0,40.6,6
"Conway County, Arkansas",35612.0,55.1,16
"Cook County, Illinois",65694.33333333333,44.7,2369
"Coosa County, Alabama",22745.0,68.9,11
"Coryell County, Texas",51368.0,58.1,28
"Coshocton County, Ohio",39211.0,64.6,31
"Cottonwood County, Minnesota",35054.0,38.4,7
"Covington County, Alabama",35146.75,71.9,39
"Cowley County, Kansas",40626.0,43.1,20
"Craig County, Virginia",33642.0,54,4
"Craighead County, Arkansas",37068.0,49.2,48
"Crawford County, Arkansas",39222.0,61.8,43
"Crawford County, Illinois",42961.0,55.5,15
"Crawford County, Indiana",34537.0,70.5,10
"Crawford County, Iowa",38425.5,33.6,8
"Crawford County, Ohio",37131.0,54.4,33
"Crawford County, Pennsylvania",45853.25,54,64
"Crawford County, Wisconsin",36018.0,45.8,12
"Creek County, Oklahoma",32440.0,67.1,60
"Crittenden County, Kentucky",54337.0,78.8,10
"Crockett County, Tennessee",29442.5,58.2,11
"Crook County, Oregon",30200.0,41.6,14
"Crook County, Wyoming",61220.0,47.6,5
"Crow Wing County, Minnesota",38023.0,50.8,47
"Cullman County, Alabama",45836.5,61.4,63
"Cumberland County, Illinois",37389.0,62.6,9
"Cumberland County, Maine",61597.0,48.9,169
"Cumberland County, New Jersey",47581.0,50.7,84
"Cumberland County, North Carolina",45969.5,56.6,154
"Cumberland County, Pennsylvania",40248.0,40,123
"Cumberland County, Virginia",25738.0,59.2,8
"Cuming County, Nebraska",42214.0,34.1,5
"Curry County, New Mexico",32470.0,36.7,17
"Custer County, Nebraska",32870.0,42.2,7
"Custer County, Oklahoma",48160.0,60.2,18
"Cuyahoga County, Ohio",72571.28571428571,51.1,838
"Dade County, Georgia",33224.0,79.3,16
"Dade County, Missouri",43025.0,58.4,7
"Dakota County, Minnesota",76109.33333333333,40.8,148
"Dakota County, Nebraska",57824.0,53,11
"Dallas County, Arkansas",26016.0,74,9
"Dallas County, Iowa",48357.0,36.7,22
"Dallas County, Texas",94562.33333333333,42.8,802
"Dane County, Wisconsin",88107.0,38.8,174
"Darke County, Ohio",48767.666666666664,52.7,37
"Darlington County, South Carolina",25472.0,56.2,49
"Dauphin County, Pennsylvania",44876.0,45.1,144
"Davidson County, North Carolina",60799.0,61.3,122
"Davidson County, Tennessee",54579.0,57.1,331
"Davie County, North Carolina",80720.0,48.3,27
"Daviess County, Missouri",36855.0,58.9,7
"Dawson County, Montana",44297.0,49.4,6
"De Soto Parish, Louisiana",27138.0,52.7,18
"DeKalb County, Alabama",38947.0,56.3,46
"DeKalb County, Georgia",52058.0,37.8,216
"DeKalb County, Indiana",40907.0,53.2,25
"DeKalb County, Missouri",34187.0,38.4,6
"DeKalb County, Tennessee",30125.0,71.9,17
"DeWitt County, Texas",38794.5,52.8,15
"Decatur County, Georgia",42027.0,58.2,19
"Delaware County, Iowa",40574.0,25.7,6
"Delaware County, Ohio",64533.0,44.1,66
"Delaware County, Oklahoma",38758.75,57.8,37
"Delaware County, Pennsylvania",69589.5,52.7,350
"Denton County, Texas",92526.0,37.4,169
"Deschutes County, Oregon",53546.0,37.7,74
"Dickinson County, Kansas",49688.0,54.8,15
"Dixie County, Florida",30372.0,73.8,19
"Dixon County, Nebraska",34164.0,35.5,3
"Dodge County, Georgia",31807.5,53.6,13
"Dodge County, Wisconsin",49411.75,45.6,51
"Doniphan County, Kansas",42728.0,58.1,6
"Door County, Wisconsin",50120.0,41.2,21
"Dorchester County, Maryland",36598.0,62,29
"Dorchester County, South Carolina",50099.0,50.5,61
"Dougherty County, Georgia",29478.0,60.9,59
"Douglas County, Colorado",73931.0,24,48
"Douglas County, Minnesota",40460.0,38.1,21
"Douglas County, Nebraska",54759.0,51,245
"Douglas County, Nevada",77040.0,40.9,32
"Douglas County, Oregon",42807.75,59.7,107
"Douglas County, Washington",36927.0,38.6,17
"Douglas County, Wisconsin",63829.0,57.9,31
"DuPage County, Illinois",73599.0,38.7,362
"Dubuque County, Iowa",50885.75,46.7,56
"Duchesne County, Utah",51100.5,34.9,6
"Dunklin County, Missouri",28822.0,81.2,33
"Dunn County, Wisconsin",41303.0,34.5,16
"Dutchess County, New York",83387.25,44,151
"Eagle County, Colorado",68860.0,14.9,5
"East Baton Rouge Parish, Louisiana",56361.5,46.9,199
"Eaton County, Michigan",59643.0,48.3,62
"El Paso County, Colorado",105184.0,35.7,196
"Elkhart County, Indiana",37563.0,48.6,99
"Ellis County, Texas",48965.0,50.2,68
"Elmore County, Alabama",39648.0,66.1,55
"Elmore County, Idaho",28568.0,59.2,13
"Emanuel County, Georgia",31177.0,59.3,16
"Emmet County, Michigan",34174.0,53.8,25
"Erie County, New York",68847.5,52.6,620
"Erie County, Pennsylvania",46677.5,48.7,164
"Escambia County, Alabama",23610.0,67,32
"Escambia County, Florida",29615.5,58.8,211
"Essex County, Massachusetts",74645.0,43.3,390
"Etowah County, Alabama",37774.5,67.7,90
"Evangeline Parish, Louisiana",19638.0,70.6,26
"Evans County, Georgia",40032.0,54.8,7
"Fairfax County, Virginia",118103.33333333333,25.6,242
"Fairfield County, Connecticut",75753.81684981685,34.5,365
"Fairfield County, South Carolina",21232.0,50.7,16
"Falls County, Texas",26998.0,43.5,10
"Faulkner County, Arkansas",48543.0,61.3,61
"Fauquier County, Virginia",87777.0,41.3,30
"Fayette County, Iowa",35921.5,40.2,13
"Fayette County, Ohio",34460.0,67.7,24
"Fayette County, Pennsylvania",43879.5,59.9,119
"Fayette County, Texas",45608.5,33.3,14
"Fentress County, Tennessee",42278.0,83,21
"Ferry County, Washington",20511.0,37.8,4
"Fillmore County, Nebraska",40146.0,40.6,4
"Flagler County, Florida",36323.0,49.7,90
"Flathead County, Montana",19075.0,33.4,38
"Floyd County, Georgia",35268.0,55.5,63
"Floyd County, Kentucky",32396.0,98.7,47
"Fond du Lac County, Wisconsin",56856.0,41.8,53
"Ford County, Kansas",51910.0,41.2,12
"Forsyth County, North Carolina",72889.0,52.9,206
"Fort Bend County, Texas",123893.33333333333,31.9,132
"Franklin County, Alabama",29055.0,65.8,25
"Franklin County, Georgia",37764.0,64.5,19
"Franklin County, Illinois",35488.0,73.7,42
"Franklin County, Indiana",50019.0,57.1,16
"Franklin County, Iowa",36195.0,45.3,7
"Franklin County, Kansas",47068.0,53,16
"Franklin County, Ohio",87031.5,53.5,553
"Franklin County, Tennessee",71304.0,54.4,31
"Franklin County, Washington",48756.0,38.5,19
"Frederick County, Maryland",81031.5,40.6,95
"Frederick County, Virginia",98682.0,52.6,46
"Fremont County, Colorado",36749.0,41.3,28
"Fremont County, Wyoming",50131.0,38.6,19
"Fresno County, California",18417.0,36.2,291
"Fulton County, Georgia",70281.0,38.3,298
"Fulton County, Illinois",50877.5,54.2,28
"Fulton County, New York",37916.0,47.6,35
"Gadsden County, Florida",34291.0,51.5,29
"Gage County, Nebraska",42310.0,40.6,13
"Gallatin County, Montana",52179.0,27.8,21
"Gallia County, Ohio",46929.0,67.2,26
"Galveston County, Texas",43322.0,54.5,162
"Garfield County, Colorado",62160.0,26.1,11
"Garfield County, Oklahoma",43560.0,51.8,39
"Garland County, Arkansas",46562.0,62.5,95
"Garvin County, Oklahoma",30316.0,72.2,26
"Gasconade County, Missouri",34873.0,38,9
"Geary County, Kansas",39938.0,71.4,16
"Geauga County, Ohio",78759.5,35.2,43
"Genesee County, New York",56668.333333333336,58.2,45
"Geneva County, Alabama",21608.0,71.2,27
"George County, Mississippi",38896.0,76.9,18
"Gibson County, Indiana",37452.0,48.6,20
"Gibson County, Tennessee",54828.0,62.1,40
"Gila County, Arizona",102782.33333333333,43.8,42
"Giles County, Tennessee",36690.0,59.9,24
"Glenn County, California",36830.0,43.8,14
"Gloucester County, New Jersey",78373.0,55.5,172
"Gonzales County, Texas",33724.0,40.4,10
"Goodhue County, Minnesota",50278.5,41.2,26
"Goshen County, Wyoming",30226.0,40.5,8
"Grady County, Oklahoma",33231.0,56.7,35
"Grafton County, New Hampshire",41990.5,38.6,44
"Graham County, Arizona",46917.0,33.8,12
"Grand Forks County, North Dakota",61406.333333333336,42.6,26
"Grant County, Arkansas",42506.333333333336,66.9,14
"Grant County, Indiana",36325.0,64,59
"Grant County, New Mexico",24350.5,30,15
"Grant County, Oklahoma",52017.5,64,5
"Grant County, Oregon",32439.0,29.8,4
"Grant County, Washington",29646.0,44.5,39
"Grant County, Wisconsin",48882.333333333336,39.7,26
"Graves County, Kentucky",36067.0,72.8,36
"Grays Harbor County, Washington",36788.0,62.6,61
"Grayson County, Virginia",23743.0,62.7,16
"Green County, Wisconsin",51735.0,41.2,19
"Green Lake County, Wisconsin",44518.0,40.7,12
"Greene County, Alabama",12379.0,34.5,5
"Greene County, Arkansas",31094.0,69.6,34
"Greene County, Georgia",21202.0,37.3,10
"Greene County, Iowa",39657.0,56.4,8
"Greene County, Mississippi",43993.0,45.9,7
"Greene County, Missouri",53347.0,51.3,162
"Greene County, New York",52459.0,54.1,38
"Greene County, Pennsylvania",40005.5,60,29
"Greensville County, Virginia",43786.0,53.1,8
"Greenville County, South Carolina",79367.5,48.8,241
"Greenwood County, South Carolina",24054.0,50.4,43
"Gregg County, Texas",51430.0,55.6,76
"Grundy County, Iowa",48244.0,33.5,6
"Guadalupe County, Texas",52226.0,41.6,56
"Guilford County, North Carolina",108197.0,48.3,251
"Gwinnett County, Georgia",65595.0,37.3,200
"Hale County, Alabama",19262.5,57.8,11
"Hall County, Georgia",60688.0,45.6,81
"Hamilton County, Illinois",31936.0,80.2,10
"Hamilton County, Nebraska",54226.0,34.1,4
"Hamilton County, Ohio",63295.71428571428,55.7,500
"Hamilton County, Tennessee",65072.75,49.6,206
"Hampden County, Massachusetts",71730.0,49.5,271
"Hampshire County, West Virginia",22237.0,63.5,20
"Hampton County, South Carolina",29069.0,54.2,14
"Hancock County, Illinois",35798.0,54.9,16
"Hancock County, Maine",43667.5,47.1,39
"Hancock County, Ohio",68934.0,48.4,44
"Hardee County, Florida",32041.0,49.1,14
"Hardeman County, Tennessee",20011.0,64.3,21
"Hardin County, Illinois",24773.0,57.4,4
"Hardin County, Iowa",51197.0,46.9,13
"Hardin County, Kentucky",34917.0,69.3,71
"Hardin County, Ohio",34614.0,57.9,21
"Hardin County, Texas",76503.5,53.8,34
"Harford County, Maryland",78763.25,49.9,131
"Harlan County, Kentucky",21210.0,95.3,34
"Harnett County, North Carolina",33508.0,60.2,63
"Harris County, Georgia",31453.0,45.8,17
"Harris County, Texas",60382.75,40.3,1243
"Harrison County, Indiana",30547.0,62.9,29
"Harrison County, Iowa",17702.0,48.3,10
"Harrison County, Mississippi",44871.5,67.5,132
"Harrison County, West Virginia",38937.5,61.5,58
"Hart County, Georgia",33343.0,51.1,19
"Hart County, Kentucky",52246.0,90.2,21
"Harvey County, Kansas",54893.0,41.4,20
"Haskell County, Oklahoma",24240.666666666668,69.9,12
"Haskell County, Texas",38934.0,60.1,5
"Hawaii County, Hawaii",71176.08737864078,33.3,79
"Henderson County, Illinois",30729.0,62.3,7
"Henderson County, Kentucky",34120.0,67.5,38
"Henderson County, North Carolina",31430.0,43.5,80
"Henderson County, Texas",59625.0,60.2,70
"Hendricks County, Indiana",87406.0,50.5,69
"Hennepin County, Minnesota",109745.2,35.7,411
"Henrico County, Virginia",67426.0,46.2,154
"Henry County, Georgia",44642.0,46.7,74
"Henry County, Indiana",34951.5,65.1,42
"Henry County, Iowa",33896.0,51.5,13
"Henry County, Missouri",29208.0,83.6,28
"Henry County, Ohio",44711.0,48.2,18
"Hernando County, Florida",37161.75,55.8,183
"Hidalgo County, Texas",30140.14285714286,22.5,137
"Highland County, Ohio",36017.0,66.7,36
"Hill County, Texas",38000.0,63.1,31
"Hillsborough County, Florida",66644.0,48.3,616
"Hocking County, Ohio",31009.0,66.3,25
"Holmes County, Mississippi",17417.0,62.2,13
"Honolulu County, Hawaii",87972.0,32.9,377
"Hopkins County, Kentucky",27021.0,66.6,41
"Hopkins County, Texas",33635.0,49,22
"Horry County, South Carolina",33970.0,58.5,219
"Hot Spring County, Arkansas",26931.0,75.3,32
"Houghton County, Michigan",34191.666666666664,43.9,19
"Houston County, Minnesota",47766.5,30.6,9
"Houston County, Texas",25559.0,47.4,16
"Hubbard County, Minnesota",43983.0,46.1,16
"Hughes County, Oklahoma",31893.0,77.6,15
"Hughes County, South Dakota",54848.0,30.7,6
"Humboldt County, California",33986.75,42.7,65
"Humboldt County, Iowa",41648.0,31,5
"Hunt County, Texas",28375.0,63.1,63
"Huntingdon County, Pennsylvania",32169.333333333332,45.7,29
"Huron County, Michigan",37790.0,45.4,25
"Huron County, Ohio",49570.5,63.3,43
"Hutchinson County, South Dakota",47192.0,31.8,4
"Iberville Parish, Louisiana",43118.0,67,24
"Ida County, Iowa",47456.0,41.7,5
"Indian River County, Florida",133628.0,51.2,143
"Indiana County, Pennsylvania",51367.5,36.8,42
"Inyo County, California",11792.0,36.5,11
"Iosco County, Michigan",39547.0,54.9,28
"Iowa County, Iowa",43296.0,40.6,9
"Iowa County, Wisconsin",26351.0,37.2,11
"Iron County, Utah",40639.0,19.7,7
"Iroquois County, Illinois",42414.4,52,23
"Island County, Washington",44366.5,32.4,38
"Itasca County, Minnesota",42895.333333333336,47.2,32
"Jackson County, Alabama",31635.0,64,46
"Jackson County, Arkansas",43190.5,83.5,19
"Jackson County, Florida",34725.0,52.8,34
"Jackson County, Georgia",63877.0,62.1,37
"Jackson County, Indiana",27022.0,70.7,37
"Jackson County, Iowa",37277.0,53.8,15
"Jackson County, Mississippi",44299.5,61.3,92
"Jackson County, Missouri",56624.5,55.3,398
"Jackson County, Oklahoma",39080.0,58.6,17
"Jackson County, Oregon",45460.0,45.6,134
